@relation spec											
											
@attribute univ { METRO, FOR, COUNTRY, SEOUL }											
@attribute gpa numeric											
@attribute toeic numeric											
@attribute toss {0, 1, 2, 3, 4, 5, 6, 7, 8}											
@attribute opic {N, IL, IMONE, IMTWO, IMTHREE, IH, AL}											
@attribute forlang numeric											
@attribute cert numeric											
@attribute award numeric											
@attribute intern numeric											
@attribute forexp numeric		
@attribute vol numeric									
@attribute comp {KAKAO, NAVER, SAMSUNG, SAMSUNGSDS, SKHYNIX, KT, LGUPLUS, LOTTEICT, CJOLIVENETWORKS, NCSOFT}											
											
											
@data											
METRO,	3.1,	0,	0,	N,	0,	1,	0,	0,	1,	0,	 KAKAO
METRO,	3.4,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	2.8,	0,	8,	N,	0,	0,	0,	1,	0,	0,	 KAKAO
METRO,	3.2,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 KAKAO
METRO,	4.2,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.9,	0,	0,	 IMTHREE,	0,	1,	1,	1,	0,	0,	 KAKAO
COUNTRY,	3.3,	0,	0,	N,	0,	0,	0,	1,	2,	0,	 KAKAO
COUNTRY,	3.8,	660,	0,	N,	0,	0,	0,	1,	0,	0,	 KAKAO
SEOUL,	3.9,	0,	0,	 IMTWO,	0,	1,	2,	1,	1,	0,	 KAKAO
METRO,	2.9,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
METRO,	4.3,	0,	0,	N,	0,	0,	0,	0,	1,	0,	 KAKAO
COUNTRY,	4.1,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
METRO,	3.8,	0,	0,	N,	0,	3,	1,	0,	0,	0,	 KAKAO
COUNTRY,	3.7,	0,	0,	N,	0,	5,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.9,	775,	0,	N,	0,	3,	0,	1,	0,	1,	 KAKAO
SEOUL,	3,	630,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
COUNTRY,	3.8,	660,	0,	N,	0,	0,	0,	1,	0,	0,	 KAKAO
SEOUL,	0,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
COUNTRY,	4.2,	740,	0,	N,	0,	4,	1,	0,	0,	0,	 KAKAO
SEOUL,	3.6,	610,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.1,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
SEOUL,	2.3,	0,	0,	N,	0,	4,	1,	0,	0,	2,	 KAKAO
METRO,	2.7,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.9,	0,	0,	 IMTHREE,	0,	0,	1,	1,	0,	0,	 KAKAO
COUNTRY,	3.5,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.5,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
COUNTRY,	3.6,	0,	0,	N,	0,	0,	0,	4,	0,	0,	 KAKAO
COUNTRY,	4.1,	705,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
COUNTRY,	3.3,	0,	0,	 IMONE,	1,	4,	0,	0,	0,	0,	 KAKAO
SEOUL,	0,	0,	0,	 IL,	0,	1,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.1,	0,	0,	N,	0,	5,	0,	0,	0,	0,	 KAKAO
SEOUL,	1.8,	0,	0,	N,	0,	1,	1,	0,	0,	0,	 KAKAO
SEOUL,	3.2,	0,	0,	 IL,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	0,	750,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
COUNTRY,	4.1,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.2,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.5,	0,	0,	N,	0,	4,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.9,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
COUNTRY,	4,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.8,	885,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
METRO,	3.2,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.5,	0,	0,	N,	0,	1,	0,	1,	0,	2,	 KAKAO
SEOUL,	0,	0,	0,	N,	0,	2,	0,	1,	0,	0,	 KAKAO
SEOUL,	3.4,	650,	0,	N,	0,	2,	0,	0,	0,	0,	 KAKAO
METRO,	3,	435,	0,	N,	0,	2,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.6,	0,	0,	N,	0,	4,	0,	0,	0,	0,	 KAKAO
METRO,	3.1,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.3,	735,	0,	N,	0,	0,	1,	0,	0,	0,	 KAKAO
COUNTRY,	3.8,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.7,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.4,	0,	0,	 IMONE,	0,	0,	0,	1,	2,	2,	 KAKAO
COUNTRY,	3.7,	0,	0,	N,	0,	5,	0,	5,	1,	2,	 KAKAO
METRO,	0,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.1,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.3,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 KAKAO
COUNTRY,	3.2,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.1,	790,	0,	N,	1,	0,	0,	1,	0,	0,	 KAKAO
SEOUL,	3.1,	790,	0,	N,	2,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	0,	0,	0,	N,	0,	0,	1,	0,	0,	0,	 KAKAO
SEOUL,	3.1,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.2,	820,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
METRO,	4.3,	0,	0,	N,	0,	0,	0,	0,	1,	0,	 KAKAO
FOR,	3,	965,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
COUNTRY,	4,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 KAKAO
COUNTRY,	3.4,	0,	0,	N,	0,	0,	0,	1,	0,	1,	 KAKAO
SEOUL,	3.5,	0,	0,	N,	0,	4,	0,	0,	0,	0,	 KAKAO
SEOUL,	2.6,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.4,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
COUNTRY,	3.1,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
COUNTRY,	3.8,	0,	0,	N,	0,	1,	1,	0,	0,	0,	 KAKAO
COUNTRY,	0,	0,	0,	N,	0,	4,	0,	0,	0,	0,	 KAKAO
METRO,	3.1,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
SEOUL,	3.6,	0,	0,	N,	1,	2,	1,	0,	0,	0,	 KAKAO
SEOUL,	3.4,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 KAKAO
METRO,	3.7,	705,	0,	N,	0,	0,	0,	0,	0,	0,	 KAKAO
COUNTRY,	4,	0,	0,	 IL,	0,	0,	0,	0,	0,	0,	 NAVER
METRO,	3.6,	845,	0,	N,	0,	0,	0,	1,	0,	0,	 NAVER
METRO,	3.9,	660,	0,	 IMTWO,	0,	1,	0,	0,	1,	0,	 NAVER
SEOUL,	3.6,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	0,	790,	0,	N,	1,	0,	0,	0,	0,	0,	 NAVER
COUNTRY,	4,	0,	0,	N,	0,	4,	0,	3,	0,	0,	 NAVER
METRO,	3.5,	0,	0,	 IMTWO,	0,	3,	0,	5,	0,	4,	 NAVER
COUNTRY,	3.5,	0,	0,	N,	0,	1,	0,	1,	0,	0,	 NAVER
COUNTRY,	4.2,	930,	0,	N,	0,	1,	1,	1,	1,	1,	 NAVER
METRO,	3.2,	0,	0,	N,	0,	3,	0,	0,	1,	0,	 NAVER
METRO,	3.7,	710,	0,	N,	0,	4,	0,	3,	1,	0,	 NAVER
SEOUL,	3.6,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
COUNTRY,	4.2,	930,	0,	 IH,	0,	1,	1,	1,	1,	1,	 NAVER
METRO,	3.2,	0,	0,	 IH,	0,	3,	0,	0,	1,	0,	 NAVER
COUNTRY,	3.8,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
METRO,	3.7,	710,	5,	N,	0,	3,	0,	2,	1,	0,	 NAVER
SEOUL,	3.6,	0,	5,	N,	0,	0,	0,	0,	0,	0,	 NAVER
COUNTRY,	3.4,	780,	0,	N,	0,	1,	1,	1,	0,	0,	 NAVER
COUNTRY,	4.3,	0,	0,	N,	0,	0,	1,	0,	0,	0,	 NAVER
SEOUL,	3.3,	615,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.7,	0,	0,	N,	0,	1,	0,	0,	0,	1,	 NAVER
COUNTRY,	3.8,	500,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.6,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
SEOUL,	3,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.6,	890,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
METRO,	3.9,	0,	0,	N,	2,	2,	1,	0,	0,	2,	 NAVER
SEOUL,	3.6,	870,	6,	N,	0,	1,	0,	0,	1,	1,	 NAVER
METRO,	3.7,	600,	0,	N,	0,	3,	0,	1,	0,	1,	 NAVER
COUNTRY,	0,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
METRO,	3.8,	0,	0,	N,	0,	2,	1,	2,	0,	0,	 NAVER
COUNTRY,	3.8,	870,	0,	N,	0,	4,	2,	0,	1,	0,	 NAVER
COUNTRY,	4,	0,	0,	N,	0,	4,	0,	0,	0,	2,	 NAVER
COUNTRY,	4.2,	500,	0,	N,	0,	0,	0,	0,	2,	1,	 NAVER
COUNTRY,	0,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.4,	663,	0,	N,	1,	0,	1,	1,	0,	2,	 NAVER
COUNTRY,	3.8,	410,	0,	N,	0,	5,	0,	0,	1,	0,	 NAVER
SEOUL,	4.2,	0,	0,	N,	0,	0,	1,	4,	0,	1,	 NAVER
SEOUL,	3.4,	700,	0,	N,	0,	5,	0,	1,	1,	1,	 NAVER
METRO,	3,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
COUNTRY,	3.5,	0,	0,	N,	0,	3,	0,	6,	1,	1,	 NAVER
COUNTRY,	4,	935,	0,	N,	0,	0,	1,	1,	0,	3,	 NAVER
COUNTRY,	3.5,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
FOR,	4,	0,	0,	N,	0,	1,	3,	0,	0,	0,	 NAVER
COUNTRY,	3.8,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
COUNTRY,	3.8,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
SEOUL,	3.6,	870,	0,	N,	0,	1,	0,	0,	1,	1,	 NAVER
COUNTRY,	2.6,	0,	0,	N,	0,	0,	0,	1,	0,	0,	 NAVER
COUNTRY,	2.4,	0,	0,	N,	0,	2,	0,	2,	2,	0,	 NAVER
COUNTRY,	3.8,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3.1,	0,	6,	N,	0,	1,	0,	0,	0,	0,	 NAVER
COUNTRY,	3.9,	0,	0,	N,	0,	2,	0,	0,	1,	0,	 NAVER
METRO,	0,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
METRO,	4,	0,	5,	N,	0,	0,	0,	1,	0,	0,	 NAVER
METRO,	3.5,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3.8,	900,	0,	N,	0,	0,	0,	0,	0,	2,	 NAVER
COUNTRY,	4.2,	680,	0,	N,	0,	1,	0,	1,	0,	1,	 NAVER
FOR,	3.1,	0,	0,	N,	0,	0,	1,	0,	0,	0,	 NAVER
FOR,	4.1,	0,	0,	N,	0,	0,	3,	0,	0,	0,	 NAVER
SEOUL,	3.8,	755,	5,	N,	0,	0,	0,	1,	0,	1,	 NAVER
SEOUL,	3.3,	0,	0,	N,	0,	0,	0,	1,	0,	0,	 NAVER
SEOUL,	4.1,	0,	0,	 AL,	1,	1,	2,	0,	0,	0,	 NAVER
COUNTRY,	2.9,	650,	0,	N,	0,	2,	5,	0,	2,	2,	 NAVER
SEOUL,	3.6,	0,	0,	N,	0,	1,	1,	0,	0,	0,	 NAVER
COUNTRY,	3.4,	640,	5,	N,	0,	5,	0,	0,	0,	0,	 NAVER
FOR,	0,	0,	0,	N,	0,	0,	0,	1,	0,	0,	 NAVER
COUNTRY,	2.5,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
COUNTRY,	4.3,	495,	0,	N,	0,	5,	1,	2,	0,	0,	 NAVER
SEOUL,	0,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3.1,	820,	0,	N,	1,	0,	2,	0,	0,	0,	 NAVER
METRO,	3.1,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.9,	975,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.3,	0,	0,	N,	0,	1,	0,	0,	0,	1,	 NAVER
SEOUL,	4.3,	930,	0,	N,	0,	5,	0,	3,	0,	0,	 NAVER
COUNTRY,	4.2,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	4.3,	930,	0,	N,	0,	6,	0,	3,	2,	0,	 NAVER
COUNTRY,	3.3,	0,	0,	N,	0,	2,	1,	0,	0,	0,	 NAVER
FOR,	3,	0,	0,	N,	0,	0,	2,	0,	0,	0,	 NAVER
SEOUL,	2.8,	800,	0,	 IMTWO,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.3,	775,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
SEOUL,	3.2,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3,	940,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.4,	800,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.9,	910,	0,	N,	0,	0,	0,	0,	1,	0,	 NAVER
SEOUL,	3.2,	940,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.9,	920,	0,	N,	0,	0,	1,	0,	0,	0,	 NAVER
